Census Tract,"CalEnviroScreen
4.0 Score","CalEnviroScreen
4.0 Percentile","CalEnviroScreen 4.0 
Percentile Range","Pollution Burden
Percentile","Population Characteristics
Percentile",Total Population,California County,Approximate Zip Code,Approximate Location,DAC category
6019001100,93.18,100.00,95-100% (highest scores),99.93,99.72,2780,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6077000700,86.65,99.99,95-100% (highest scores),99.29,99.74,4680,San Joaquin,95206,Stockton,CalEnviroScreen 4.0 Top 25%
6037204920,82.39,99.97,95-100% (highest scores),99.86,95.79,2751,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000700,81.33,99.96,95-100% (highest scores),97.40,99.89,3664,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6019000200,80.75,99.95,95-100% (highest scores),96.94,99.95,2689,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037542402,80.71,99.94,95-100% (highest scores),99.78,95.46,3306,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6019001000,80.55,99.92,95-100% (highest scores),96.70,99.99,4255,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037543202,79.29,99.91,95-100% (highest scores),99.25,96.90,5124,Los Angeles,90220,Compton,CalEnviroScreen 4.0 Top 25%
6019001202,79.17,99.90,95-100% (highest scores),98.88,98.05,4561,Fresno ,93725,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6077000100,77.87,99.89,95-100% (highest scores),95.22,99.97,3688,San Joaquin,95202,Stockton,CalEnviroScreen 4.0 Top 25%
6037203300,77.35,99.87,95-100% (highest scores),99.45,94.49,2000,Los Angeles,90033,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037291220,77.25,99.86,95-100% (highest scores),100.00,86.01,3640,Los Angeles,90247,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037433501,76.91,99.85,95-100% (highest scores),99.15,95.54,1949,Los Angeles,91733,South El Monte,CalEnviroScreen 4.0 Top 25%
6037243100,76.85,99.84,95-100% (highest scores),94.95,99.91,6772,Los Angeles,90059,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037227010,76.65,99.82,95-100% (highest scores),98.52,97.37,5705,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037226001,76.52,99.81,95-100% (highest scores),99.68,92.36,2615,Los Angeles,90021,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000300,76.40,99.80,95-100% (highest scores),97.66,98.51,4225,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037433101,76.26,99.79,95-100% (highest scores),99.50,93.15,2464,Los Angeles,91731,El Monte,CalEnviroScreen 4.0 Top 25%
6037239202,76.24,99.77,95-100% (highest scores),97.09,98.94,5999,Los Angeles,90001,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037206050,75.99,99.76,95-100% (highest scores),99.74,91.14,2031,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037205120,75.72,99.75,95-100% (highest scores),99.49,92.71,3548,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6077000300,75.61,99.74,95-100% (highest scores),98.61,96.47,2048,San Joaquin,95203,Stockton,CalEnviroScreen 4.0 Top 25%
6037226002,75.55,99.72,95-100% (highest scores),99.76,90.41,1820,Los Angeles,90021,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000902,75.46,99.71,95-100% (highest scores),93.64,99.92,5191,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
