ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,california_county,total_population,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent
4.85,2.80,1-5% (lowest scores),Alameda ,3120,3.78,74.26,3.43,0,12.53,5.99
4.88,2.87,1-5% (lowest scores),Alameda ,2007,8.67,73.49,2.59,0.2,8.52,6.53
11.20,15.94,15-20%,Alameda ,5051,6.95,67.99,9.09,0,12.14,3.84
12.39,18.97,15-20%,Alameda ,4007,12.1,63.74,6.64,0.87,10.48,6.16
16.73,29.74,25-30%,Alameda ,4124,9.46,45.44,21.39,0,11.34,12.37
20.02,37.59,35-40%,Alameda ,1745,7.51,49.28,20.52,0.17,10.54,11.98
36.71,70.13,70-75%,Alameda ,5128,19.38,38.28,28.24,0,6.42,7.68
37.10,70.71,70-75%,Alameda ,4069,10.62,43.55,23.27,0.2,15.19,7.18
40.71,76.15,75-80%,Alameda ,2471,15.82,41.64,28.77,2.47,4.09,7.2
43.74,80.41,80-85%,Alameda ,6133,18.72,33.44,30.36,0,8.27,9.21
32.93,63.86,60-65%,Alameda ,4287,10.75,52.39,7.74,0,20.08,9.03
20.25,38.11,35-40%,Alameda ,2619,12.18,61.02,11.26,0.08,11.49,3.97
43.68,80.35,80-85%,Alameda ,3921,10.12,38.41,28.51,0.61,16.76,5.59
45.08,82.12,80-85%,Alameda ,4732,18.96,25.74,31.93,1.54,12.37,9.47
44.53,81.43,80-85%,Alameda ,2839,14.12,36.91,37.34,0,5.39,6.23
48.78,86.50,85-90%,Alameda ,2289,20.05,28.66,35.91,0,11.36,4.02
43.47,80.09,80-85%,Alameda ,3018,26.64,38.87,17.03,0,12.16,5.3
45.10,82.16,80-85%,Alameda ,1801,20.27,33.48,38.2,0.22,5.5,2.33
55.82,93.12,90-95%,Alameda ,2477,16.23,29.87,31.77,1.25,16.35,4.52
37.31,71.02,70-75%,Alameda ,2866,9.14,24.11,48.39,0,12.98,5.37
50.81,88.67,85-90%,Alameda ,1781,14.77,10.89,58.39,0,13.31,2.64
42.12,78.23,75-80%,Alameda ,1243,16.49,14.4,25.91,0.48,38.7,4.02
38.87,73.30,70-75%,Alameda ,1890,20.58,23.23,42.28,0.63,10.85,2.43
41.72,77.66,75-80%,Alameda ,4480,6.27,28.19,38.08,0.58,18.57,8.3
36.39,69.74,65-70%,Alameda ,1406,17.64,21.55,17.14,0.21,37.55,5.9
53.41,91.24,90-95%,Alameda ,2905,2.27,6.51,4.37,0.34,83.93,2.58
35.96,69.10,65-70%,Alameda ,2101,13.04,27.84,17.66,0.29,38.41,2.76
45.88,83.06,80-85%,Alameda ,4178,6.03,26.16,7.47,2.39,52.23,5.72
29.43,57.67,55-60%,Alameda ,4340,8.18,39.54,19.15,0.44,26.8,5.9
25.31,49.48,45-50%,Alameda ,4492,12.27,37.47,23.89,0.53,19.46,6.39
19.87,37.22,35-40%,Alameda ,2044,11.94,42.03,25.44,0,11.11,9.49
25.58,50.05,50-55%,Alameda ,5570,13.91,29.34,41.24,0.23,9.37,5.91
14.10,23.29,20-25%,Alameda ,2968,12.2,43.03,26.75,0,12.6,5.42
14.98,25.53,25-30%,Alameda ,1930,9.79,51.92,15.03,0,17.67,5.6
11.72,17.13,15-20%,Alameda ,3351,3.58,67.74,12.98,0,11.82,3.88
16.00,27.82,25-30%,Alameda ,4051,7.43,57.29,13.55,0.22,16.17,5.33
8.89,10.46,10-15%,Alameda ,2895,16.41,55.2,7.25,1,12.64,7.5
9.35,11.28,10-15%,Alameda ,3017,7.03,62.18,7.86,0.36,12.6,9.98
12.92,20.35,20-25%,Alameda ,2653,9.88,66.49,4.71,1.36,12.77,4.79
7.30,7.34,5-10%,Alameda ,3877,5.6,61.75,6.32,0.21,19.83,6.29
3.82,1.24,1-5% (lowest scores),Alameda ,3443,12,65.29,1.66,0,13.56,7.49
4.57,2.36,1-5% (lowest scores),Alameda ,5628,5.31,67,2.33,0.32,12.95,12.08
4.59,2.38,1-5% (lowest scores),Alameda ,1809,6.69,66.39,6.74,0,12.05,8.13
6.27,5.28,5-10%,Alameda ,5891,7.62,75.51,1.14,0,10.19,5.55
4.69,2.52,1-5% (lowest scores),Alameda ,4625,4.82,69.69,3.85,0.17,15.35,6.12
4.70,2.53,1-5% (lowest scores),Alameda ,2137,9.45,69.58,5.99,0,11.65,3.32
14.33,23.88,20-25%,Alameda ,2647,14.43,49.38,15.98,0.42,11.07,8.73
15.34,26.30,25-30%,Alameda ,4197,11.84,56.09,9.6,0.67,16.11,5.69
7.42,7.49,5-10%,Alameda ,3394,7.4,61.58,11.73,0,10.99,8.31
