year,depth_to_water,longitude,latitude
2022,32.58,-118.28069,33.79072
2022,33.18,-118.28069,33.79072
2023,32.19,-118.28069,33.79072
2022,32.61,-118.28061,33.79071
2022,33.21,-118.28061,33.79071
2023,32.21,-118.28061,33.79071
2022,32.78,-118.28067,33.79063
2022,33.34,-118.28067,33.79063
2023,31.94,-118.28067,33.79063
2022,32.19,-118.28067,33.79066
2022,32.4,-118.28067,33.79066
2023,31.94,-118.28067,33.79066
2022,32.93,-118.28093,33.79102
2022,33.37,-118.28093,33.79102
2023,31.97,-118.28093,33.79102
2022,35.69,-118.28041,33.79126
2022,36.12,-118.28041,33.79126
2023,35.31,-118.28041,33.79126
2022,35.78,-118.28019,33.79104
2022,36.3,-118.28019,33.79104
2023,35.35,-118.28019,33.79104
2022,35.48,-118.28018,33.79083
2022,35.94,-118.28018,33.79083
2023,34.25,-118.28018,33.79083
2022,21.86,-118.27799,34.05502
2022,22.15,-118.27799,34.05502
2023,20.84,-118.27799,34.05502
2022,17.67,-118.27781,34.05506
2022,17.37,-118.27781,34.05506
2023,15.98,-118.27781,34.05506
2022,23.98,-118.27822,34.05499
2023,22.73,-118.27822,34.05499
2022,23.56,-118.27849,34.05511
2022,23.28,-118.27849,34.05511
2023,23.41,-118.27849,34.05511
2022,32.02,-118.27809,34.0546
2022,32.36,-118.27809,34.0546
2023,32.01,-118.27809,34.0546
2022,40.56,-118.27824,34.05436
2023,40.54,-118.27824,34.05436
2022,25.05,-118.27903,34.05513
2022,24.87,-118.27903,34.05513
2023,23.7,-118.27903,34.05513
2022,10.8,-117.92011,33.70198
2022,10.6,-117.92011,33.70198
2023,8.89,-117.92011,33.70198
2022,31.51,-121.99896,37.35275
2022,33.21,-121.99896,37.35275
2023,26.4,-121.99896,37.35275
2022,32.62,-121.99871,37.35287
2022,29.93,-121.99806,37.3528
2022,31.41,-121.99806,37.3528
2023,24.83,-121.99806,37.3528
2022,30.6,-121.99828,37.3531
2022,32.59,-121.99947,37.35273
2022,29.3,-121.99724,37.35279
2022,30.32,-121.99788,37.35299
2022,31.68,-121.99885,37.35275
2022,33.33,-121.99885,37.35275
2023,26.59,-121.99885,37.35275
2022,31.35,-121.99867,37.35267
2022,33.03,-121.99867,37.35267
2023,26.23,-121.99867,37.35267
2023,26.33,-121.99883,37.35271
2022,31.91,-121.99887,37.35275
2022,33.57,-121.99887,37.35275
2023,26.9,-121.99887,37.35275
2022,31.21,-121.99868,37.35266
2022,32.84,-121.99868,37.35266
2023,26,-121.99868,37.35266
2022,31.38,-121.99868,37.35285
2022,33,-121.99868,37.35285
2023,26.39,-121.99868,37.35285
2022,33.25,-121.99887,37.35272
2022,73.7,-117.99479,33.91702
2022,73.92,-117.99479,33.91702
2023,72.41,-117.99479,33.91702
2022,60.13,-117.99479,33.91702
2022,74.35,-117.99478,33.91712
2022,74.6,-117.99478,33.91712
2023,73.78,-117.99478,33.91712
2022,63.48,-117.99478,33.91712
2022,63.63,-117.99478,33.91712
2023,63.01,-117.99478,33.91712
2022,8.03,-122.70864,38.41401
2022,10.27,-122.70864,38.41401
2023,7.34,-122.70864,38.41401
2022,7.52,-122.70881,38.41383
2022,9.92,-122.70881,38.41383
2023,6.74,-122.70881,38.41383
2022,7.43,-122.70876,38.41372
2022,9.85,-122.70876,38.41372
2023,6.65,-122.70876,38.41372
2022,9.31,-122.7086,38.41351
2022,12.01,-122.7086,38.41351
2023,8.51,-122.7086,38.41351
2022,7.47,-122.70927,38.41404
2022,9.82,-122.70927,38.41404
2023,8.17,-122.70927,38.41404
2022,7.22,-122.70927,38.41405
2022,9.55,-122.70927,38.41405
2022,47.57,-118.21552,33.94518
2022,46.12,-118.21564,33.9452
2022,46.44,-118.21564,33.9452
2023,46.75,-118.21564,33.9452
2022,46.68,-118.21577,33.9452
2022,47.57,-118.21588,33.94522
2022,48.06,-118.21588,33.94522
2023,48.35,-118.21588,33.94522
2022,46.28,-118.21587,33.94498
2022,46.11,-118.21585,33.94491
2022,46.44,-118.21585,33.94491
2023,47.1,-118.21585,33.94491
2022,46.43,-118.21592,33.94507
2022,46.76,-118.21592,33.94507
2023,47.01,-118.21592,33.94507
2022,46.44,-118.21595,33.94515
2022,46.73,-118.21595,33.94515
2023,47.02,-118.21595,33.94515
2022,45.88,-118.21554,33.94511
2022,45.99,-118.21554,33.94511
2022,45.88,-118.21622,33.9451
2022,46.68,-118.21622,33.9451
2023,47.05,-118.21622,33.9451
2022,66.9,-117.99518,33.91798
2022,67.92,-117.99518,33.91798
2023,65.4,-117.99518,33.91798
2022,68.44,-117.99481,33.91718
2022,68.82,-117.99481,33.91718
2023,67.9,-117.99481,33.91718
2022,66.08,-117.9948,33.91738
2022,66.68,-117.9948,33.91738
2023,65.44,-117.9948,33.91738
2022,58.2,-117.99426,33.91764
2023,41.4,-117.99426,33.91764
2022,62.96,-117.99443,33.91764
2022,63.32,-117.99443,33.91764
2023,54.12,-117.99443,33.91764
2022,66.23,-117.99471,33.91811
2022,67.07,-117.99471,33.91811
2023,62.38,-117.99471,33.91811
2022,70.68,-117.99527,33.9176
2022,71.31,-117.99527,33.9176
2023,70.02,-117.99527,33.9176
2022,64.3,-117.99435,33.91767
2022,65.32,-117.99435,33.91767
2023,54,-117.99435,33.91767
2022,61.4,-117.99435,33.91748
2022,61.95,-117.99435,33.91748
2023,56.13,-117.99435,33.91748
2022,73.87,-117.99456,33.91727
2022,74.2,-117.99456,33.91727
2023,73.31,-117.99456,33.91727
2022,68.82,-117.99493,33.91727
2022,68.88,-117.99493,33.91727
2023,68.3,-117.99493,33.91727
2022,67.07,-117.99504,33.91745
2022,68.48,-117.99504,33.91745
2023,67.42,-117.99504,33.91745
2022,66.25,-117.99453,33.91789
2022,67.19,-117.99453,33.91789
2023,62.12,-117.99453,33.91789
2022,69.8,-117.99532,33.91718
2023,69,-117.99532,33.91718
2022,71.64,-117.99431,33.91704
2022,71.9,-117.99431,33.91704
2023,71.27,-117.99431,33.91704
2022,70.28,-117.99506,33.91757
2022,71.16,-117.99506,33.91757
2023,65.79,-117.99506,33.91757
2022,14.26,-121.32006,37.98651
2022,15.31,-121.32006,37.98651
2022,16.09,-121.32006,37.98651
2022,13.3,-121.32034,37.98661
2022,14.32,-121.32034,37.98661
2022,13.68,-121.32034,37.98661
2022,14.74,-121.31974,37.98679
2022,15.85,-121.31974,37.98679
2022,16.8,-121.31974,37.98679
2022,13.26,-121.3205,37.98644
2022,14.29,-121.3205,37.98644
2022,15.01,-121.3205,37.98644
2022,14.67,-121.32015,37.98653
2022,15.75,-121.32015,37.98653
2022,16.53,-121.32015,37.98653
2022,14.37,-121.31992,37.98675
2022,15.52,-121.31992,37.98675
2022,16.34,-121.31992,37.98675
2022,14.42,-121.3203,37.98648
2022,15.51,-121.3203,37.98648
2022,16.6,-121.3203,37.98648
2022,22.81,-118.37338,34.03252
2022,23.67,-118.37338,34.03252
2023,23.31,-118.37338,34.03252
2022,23.47,-118.37351,34.03253
2022,21.93,-118.37351,34.03253
2023,22.21,-118.37351,34.03253
2022,80.82,-118.25797,34.05614
2022,80.36,-118.25797,34.05614
2023,79.8,-118.25797,34.05614
2022,14.36,-121.32018,37.98647
2022,15.4,-121.32018,37.98647
2022,16.64,-121.32018,37.98647
2022,14.21,-121.31986,37.98686
2022,15.3,-121.31986,37.98686
2022,19.71,-121.31986,37.98686
2022,14.76,-121.31938,37.98688
2022,15.89,-121.31938,37.98688
2022,16.94,-121.31938,37.98688
2022,15.27,-121.31933,37.9871
2022,16.36,-121.31933,37.9871
2022,17.41,-121.31933,37.9871
2022,46.13,-117.94942,34.03701
2022,46.03,-117.94942,34.03701
2023,31.34,-117.94942,34.03701
2022,59.62,-117.94971,34.03835
2022,59.84,-117.94971,34.03835
2023,48.89,-117.94971,34.03835
2022,31.75,-121.9987,37.35267
2022,33.19,-121.9987,37.35267
2023,26.44,-121.9987,37.35267
2022,14.76,-121.32024,37.98651
2022,15.86,-121.32024,37.98651
2022,16.53,-121.32024,37.98651
2022,14.1,-121.32017,37.98659
2022,15.22,-121.32017,37.98659
2022,16.98,-121.32017,37.98659
2022,32.09,-121.99892,37.35256
2022,33.74,-121.99892,37.35256
2023,26.89,-121.99892,37.35256
2022,9.5,-122.70874,38.41347
2022,11.91,-122.70874,38.41347
2023,8.74,-122.70874,38.41347
2022,10.51,-122.70953,38.4134
2022,13.06,-122.70953,38.4134
2023,9.62,-122.70953,38.4134
2022,59.07,-117.94992,34.03831
2022,59.39,-117.94992,34.03831
2023,49.47,-117.94992,34.03831
2022,62.6,-117.9499,34.03884
2023,58.17,-117.9499,34.03884
2022,48.43,-117.94952,34.03739
2022,48.42,-117.94952,34.03739
2023,31.56,-117.94952,34.03739
2022,50.25,-117.94951,34.03751
2022,50.66,-117.94951,34.03751
2023,37.94,-117.94951,34.03751
2022,9.51,-122.70953,38.41337
2022,11.76,-122.70953,38.41337
2023,8.65,-122.70953,38.41337
2022,8.29,-122.70859,38.41369
2022,10.86,-122.70859,38.41369
2023,7.37,-122.70859,38.41369
2022,8.45,-122.70882,38.41407
2022,10.73,-122.70882,38.41407
2023,7.76,-122.70882,38.41407
2022,7,-122.70884,38.41348
2022,9.51,-122.70884,38.41348
2023,6.14,-122.70884,38.41348
2022,14.06,-121.32008,37.98658
2022,15.47,-121.32008,37.98658
2022,16.09,-121.32008,37.98658
2022,46.47,-117.95,34.03742
2022,46.68,-117.95,34.03742
2023,26.27,-117.95,34.03742
2022,86.14,-118.25779,34.05565
2022,90.29,-118.25779,34.05565
2023,86.98,-118.25779,34.05565
2022,84.85,-118.25795,34.05565
2022,84.51,-118.25795,34.05565
2023,81.98,-118.25795,34.05565
2022,50.79,-118.25772,34.05555
2022,65.3,-118.25785,34.05557
2022,70.89,-118.25785,34.05557
2023,63.42,-118.25785,34.05557
2022,70.74,-118.258,34.05556
2022,75.11,-118.258,34.05556
2023,69.13,-118.258,34.05556
2022,30.82,-121.81394,37.35087
2022,31.55,-121.81394,37.35087
2023,29.36,-121.81394,37.35087
2023,29.69,-121.81394,37.35087
2022,32.3,-121.81392,37.35079
2022,33.09,-121.81392,37.35079
2023,30.57,-121.81392,37.35079
2023,31.2,-121.81392,37.35079
2022,32.01,-121.81403,37.35081
2022,32.67,-121.81403,37.35081
2023,30.55,-121.81403,37.35081
2023,30.83,-121.81403,37.35081
2022,32.55,-121.81374,37.35096
2023,31.23,-121.81374,37.35096
2022,32.08,-121.81386,37.3509
2022,32.75,-121.81386,37.3509
2023,31.7,-121.81386,37.3509
2023,30.9,-121.81386,37.3509
2022,32.3,-121.81369,37.35065
2022,33.03,-121.81369,37.35065
2023,30.93,-121.81369,37.35065
2023,31.05,-121.81369,37.35065
2022,30.58,-121.81399,37.35068
2022,31.21,-121.81399,37.35068
2023,29.09,-121.81399,37.35068
2023,29.41,-121.81399,37.35068
2022,30.85,-121.81409,37.35105
2023,29.45,-121.81409,37.35105
2022,32.41,-121.81374,37.3504
2023,30.9,-121.81374,37.3504
2022,26.79,-121.81481,37.35084
2023,25.14,-121.81481,37.35084
2022,23.39,-121.81535,37.35016
2023,21.5,-121.81535,37.35016
2022,31.86,-121.81363,37.35111
2022,32.49,-121.81363,37.35111
2023,30.52,-121.81363,37.35111
2023,30.55,-121.81363,37.35111
2022,32.92,-121.81332,37.35085
2023,31.56,-121.81332,37.35085
2022,32.92,-121.8134,37.35124
2023,31.71,-121.8134,37.35124
2022,34.57,-121.81348,37.35064
2023,32.09,-121.81348,37.35064
2023,29.87,-121.81385,37.35081
2022,29.87,-121.81386,37.35067
2023,29.22,-121.81386,37.35067
2022,29.8,-121.81376,37.35071
2023,29.73,-121.81376,37.35071
2023,31.95,-121.81357,37.35079
2022,33.03,-121.81377,37.35078
2022,33.28,-121.81377,37.35078
2023,31.64,-121.81377,37.35078
2023,31.73,-121.81377,37.35078
2022,31.22,-121.81384,37.35092
2023,29.92,-121.81384,37.35092
2022,31.48,-121.81397,37.35083
2022,32.09,-121.81397,37.35083
2023,30.01,-121.81397,37.35083
2023,30.26,-121.81397,37.35083
2022,30.61,-121.81399,37.35072
2022,31.28,-121.81399,37.35072
2023,29.22,-121.81399,37.35072
2023,29.59,-121.81399,37.35072
2022,32.28,-121.81379,37.35059
2023,30.79,-121.81379,37.35059
2022,47.8,-117.94967,34.03743
2022,47.83,-117.94967,34.03743
2023,31.86,-117.94967,34.03743
2022,47.83,-117.94973,34.03742
2022,47.67,-117.94973,34.03742
2023,30.3,-117.94973,34.03742
2022,47.09,-117.94957,34.0373
2022,46.93,-117.94957,34.0373
2023,30.96,-117.94957,34.0373
2022,47.09,-117.94967,34.03733
2022,47,-117.94967,34.03733
2023,30.58,-117.94967,34.03733
2022,48.42,-117.94946,34.03739
2022,48.47,-117.94946,34.03739
2023,33.56,-117.94946,34.03739
2022,47.53,-117.94931,34.0373
2022,47.48,-117.94931,34.0373
2023,34.18,-117.94931,34.0373
2023,31.73,-117.94970000000001,34.03766
2022,51.55,-117.94931,34.03763
2022,52.86,-117.94931,34.03763
2023,40.05,-117.94931,34.03763
2022,49.54,-117.94966,34.0376
2022,49.2,-117.94966,34.0376
2023,26.93,-117.94966,34.0376
2023,84.37,-118.41672,34.01259
2023,84.68,-118.41699,34.01253
2023,85.4,-118.41681,34.01231
2023,78.6,-118.41688,34.01309
2023,84.98,-118.4174,34.01277
2023,83.95,-118.41655,34.01198
2023,84.88,-118.41734,34.01279
2022,73.22,-117.9947,33.91704
2022,73.54,-117.9947,33.91704
2023,73.45,-117.9947,33.91704
2022,62.55,-117.9947,33.91704
2023,60.27,-117.9947,33.91704
2022,71.32,-117.99452,33.91696
2022,71.61,-117.99452,33.91696
2023,71.36,-117.99452,33.91696
2022,51.42,-117.99452,33.91696
2022,51.54,-117.99452,33.91696
2023,49.53,-117.99452,33.91696
2022,92.75,-118.38728,33.95075
2022,92.56,-118.38744,33.95087
2022,92.3,-118.38737,33.95095
2022,91.8,-118.387,33.95091
2022,101.53,-118.41745,34.01233
2022,101.8,-118.41745,34.01233
2022,102.06,-118.41745,34.01233
2022,102.45,-118.41745,34.01233
2022,102.76,-118.41745,34.01233
2022,102.7,-118.41745,34.01233
2022,103.1,-118.41745,34.01233
2022,103.11,-118.41745,34.01233
2022,100.09,-118.41745,34.01233
2022,99.42,-118.41745,34.01233
2022,97.96,-118.41745,34.01233
2022,95.62,-118.41745,34.01233
2023,93.7,-118.41745,34.01233
2023,88.49,-118.41745,34.01233
2023,86.87,-118.41745,34.01233
2023,83.2,-118.41745,34.01233
2023,81.8,-118.41745,34.01233
2023,78.8,-118.41745,34.01233
2022,102.11,-118.41745,34.0123
2022,102.39,-118.41745,34.0123
2022,102.66,-118.41745,34.0123
2022,103.04,-118.41745,34.0123
2022,103.4,-118.41745,34.0123
2022,103.33,-118.41745,34.0123
2022,103.74,-118.41745,34.0123
2022,103.71,-118.41745,34.0123
2022,100.68,-118.41745,34.0123
2022,100.03,-118.41745,34.0123
2022,98.48,-118.41745,34.0123
2022,96.18,-118.41745,34.0123
2023,94.23,-118.41745,34.0123
2023,88.94,-118.41745,34.0123
2023,87.38,-118.41745,34.0123
2023,83.64,-118.41745,34.0123
2023,82.23,-118.41745,34.0123
2023,79.23,-118.41745,34.0123
2022,99.17,-118.41741,34.0123
2022,99.11,-118.41741,34.0123
2022,99.27,-118.41741,34.0123
2022,99.44,-118.41741,34.0123
2022,99.57,-118.41741,34.0123
2022,99.7,-118.41741,34.0123
2022,99.78,-118.41741,34.0123
2022,99.96,-118.41741,34.0123
2022,99.55,-118.41741,34.0123
2022,99,-118.41741,34.0123
2022,98.1,-118.41741,34.0123
2022,97.23,-118.41741,34.0123
2023,95.67,-118.41741,34.0123
2023,90.51,-118.41741,34.0123
2023,88.82,-118.41741,34.0123
2023,84.78,-118.41741,34.0123
2023,83.22,-118.41741,34.0123
2023,82.11,-118.41741,34.0123
2023,80.26,-118.41741,34.0123
2022,101.89,-118.41752,34.01214
2022,102.13,-118.41752,34.01214
2022,102.36,-118.41752,34.01214
2022,102.68,-118.41752,34.01214
2022,103.05,-118.41752,34.01214
2022,102.9,-118.41752,34.01214
2022,103.35,-118.41752,34.01214
2022,103.39,-118.41752,34.01214
2022,100.34,-118.41752,34.01214
