name,chemical,year,avg_measure
Imperial,Perfluorooctane sulfonate (PFOS),2019,1.82
Imperial,Perfluorooctane sulfonate (PFOS),2022,1.9
Imperial,Perfluorooctane sulfonate (PFOS),2023,1927
Imperial,Perfluorooctanoic acid (PFOA),2019,1.4222222222222223
Imperial,Perfluorooctanoic acid (PFOA),2022,1.9
Imperial,Perfluorooctanoic acid (PFOA),2023,578.5
Kern,Alkalinity as CaCO3,1985,104.66666666666667
Kern,Alkalinity as CaCO3,1986,109
Kern,Alkalinity as CaCO3,1987,128.33333333333334
Kern,Alkalinity as CaCO3,1990,107.72727272727273
Kern,Alkalinity as CaCO3,1991,95.48936170212765
Kern,Boron,1985,0.2125
Kern,Boron,1987,0.18375000000000002
Kern,Boron,1988,0.3271428571428571
Kern,Boron,1990,0.31666666666666665
Kern,Chloride,1985,56.273529411764706
Kern,Chloride,1986,35.75
Kern,Chloride,1987,113.91666666666667
Kern,Chloride,1988,32.98474576271187
Kern,Chloride,1989,30.5
Kern,Chloride,1990,41.705882352941174
Kern,Chloride,1991,29.76595744680851
Kern,Perfluorooctane sulfonate (PFOS),2016,2
Kern,Perfluorooctane sulfonate (PFOS),2018,2.5
Kern,Perfluorooctane sulfonate (PFOS),2019,1.0452542372881355
Kern,Perfluorooctane sulfonate (PFOS),2020,4.0705426356589145
Kern,Perfluorooctane sulfonate (PFOS),2021,1324.8894736842105
Kern,Perfluorooctane sulfonate (PFOS),2022,3.9594827586206898
Kern,Perfluorooctane sulfonate (PFOS),2023,3.860728744939271
Kern,Perfluorooctane sulfonate (PFOS),2024,4.642857142857143
Kern,Perfluorooctanoic acid (PFOA),2016,2
Kern,Perfluorooctanoic acid (PFOA),2018,2.5
Kern,Perfluorooctanoic acid (PFOA),2019,2.789491525423729
Kern,Perfluorooctanoic acid (PFOA),2020,4.6734375
Kern,Perfluorooctanoic acid (PFOA),2021,195.5988950276243
Kern,Perfluorooctanoic acid (PFOA),2022,3.1822510822510823
Kern,Perfluorooctanoic acid (PFOA),2023,3.3222672064777328
Kern,Perfluorooctanoic acid (PFOA),2024,2.5821428571428573
Los Angeles,Alkalinity as CaCO3,1985,162.15021459227466
Los Angeles,Alkalinity as CaCO3,1986,172.25595238095238
Los Angeles,Alkalinity as CaCO3,1987,170.73636363636365
Los Angeles,Alkalinity as CaCO3,1988,167.0081300813008
Los Angeles,Alkalinity as CaCO3,1989,170.55789473684212
Los Angeles,Alkalinity as CaCO3,1990,179
Los Angeles,Alkalinity as CaCO3,1991,175.73015873015873
Los Angeles,Boron,1985,39.69662393162393
Los Angeles,Boron,1986,0.2696385542168675
Los Angeles,Boron,1987,0.21156398104265403
Los Angeles,Boron,1988,0.18852216748768472
Los Angeles,Boron,1989,0.17734299516908214
Los Angeles,Boron,1990,0.13889830508474577
Los Angeles,Boron,1991,0.20419354838709677
Los Angeles,Chloride,1985,103.61904761904762
Los Angeles,Chloride,1986,42.72289156626506
Los Angeles,Chloride,1987,52.889380530973455
Los Angeles,Chloride,1988,48.669135802469135
Los Angeles,Chloride,1989,120.50657894736842
Los Angeles,Chloride,1990,37.92773109243697
Los Angeles,Chloride,1991,36.434375
Los Angeles,Chloride,2002,1210
Los Angeles,Chloride,2003,1140
Los Angeles,Chloride,2006,960
Los Angeles,Perfluorooctane sulfonate (PFOS),2017,425.695
Los Angeles,Perfluorooctane sulfonate (PFOS),2018,457.77647058823527
Los Angeles,Perfluorooctane sulfonate (PFOS),2019,13.971916264090178
Los Angeles,Perfluorooctane sulfonate (PFOS),2020,70.64527452380952
Los Angeles,Perfluorooctane sulfonate (PFOS),2021,112.41317234042553
Los Angeles,Perfluorooctane sulfonate (PFOS),2022,288.9501780073801
Los Angeles,Perfluorooctane sulfonate (PFOS),2023,84.66148653940284
Los Angeles,Perfluorooctane sulfonate (PFOS),2024,10.99047619047619
Los Angeles,Perfluorooctanoic acid (PFOA),2017,232.63625
Los Angeles,Perfluorooctanoic acid (PFOA),2018,133.12941176470588
Los Angeles,Perfluorooctanoic acid (PFOA),2019,9.169452495974236
Los Angeles,Perfluorooctanoic acid (PFOA),2020,19.691631828978622
Los Angeles,Perfluorooctanoic acid (PFOA),2021,10.862838348868175
Los Angeles,Perfluorooctanoic acid (PFOA),2022,43.23248147601476
Los Angeles,Perfluorooctanoic acid (PFOA),2023,49.691735682819385
Los Angeles,Perfluorooctanoic acid (PFOA),2024,6.914285714285715
Orange,Alkalinity as CaCO3,1985,116.25
Orange,Alkalinity as CaCO3,1987,174.23529411764707
Orange,Alkalinity as CaCO3,1989,191
Orange,Boron,1985,26.97
Orange,Boron,1987,0.21176470588235294
Orange,Chloride,1985,51.6
Orange,Chloride,1987,56.05882352941177
Orange,Chloride,1989,87.5
Orange,Perfluorooctane sulfonate (PFOS),2016,49.62
Orange,Perfluorooctane sulfonate (PFOS),2017,19.063855421686746
Orange,Perfluorooctane sulfonate (PFOS),2018,20.19578947368421
Orange,Perfluorooctane sulfonate (PFOS),2019,111.7493108359133
Orange,Perfluorooctane sulfonate (PFOS),2020,24.783384223918574
Orange,Perfluorooctane sulfonate (PFOS),2021,57.872270168855536
Orange,Perfluorooctane sulfonate (PFOS),2022,43.76862595419847
Orange,Perfluorooctane sulfonate (PFOS),2023,17.07670988654781
Orange,Perfluorooctanoic acid (PFOA),2016,20.94
Orange,Perfluorooctanoic acid (PFOA),2017,11.080722891566266
Orange,Perfluorooctanoic acid (PFOA),2018,11.641052631578948
Orange,Perfluorooctanoic acid (PFOA),2019,78.16937353846154
Orange,Perfluorooctanoic acid (PFOA),2020,14.160612244897958
Orange,Perfluorooctanoic acid (PFOA),2021,13.904370229007634
Orange,Perfluorooctanoic acid (PFOA),2022,9.811870229007633
Orange,Perfluorooctanoic acid (PFOA),2023,8.375235008103727
Riverside,Alkalinity as CaCO3,1985,1078.6666666666667
Riverside,Alkalinity as CaCO3,1986,165.75
Riverside,Alkalinity as CaCO3,1987,183.66666666666666
Riverside,Alkalinity as CaCO3,1988,141.27272727272728
Riverside,Alkalinity as CaCO3,1989,162
Riverside,Alkalinity as CaCO3,2000,177
Riverside,Alkalinity as CaCO3,2004,114.81818181818181
Riverside,Boron,1985,0.225
Riverside,Boron,1986,0.14166666666666666
Riverside,Boron,1987,0.2
Riverside,Boron,1988,0.07250000000000001
Riverside,Boron,1989,0.1
Riverside,Boron,2000,0.027692307692307693
Riverside,Boron,2004,0.26363636363636367
Riverside,Chloride,1985,99.5
Riverside,Chloride,1986,50.98421052631579
Riverside,Chloride,1987,66
Riverside,Chloride,1988,59.63636363636363
Riverside,Chloride,1989,108.5
Riverside,Chloride,2000,169.421875
Riverside,Chloride,2004,140.1818181818182
Riverside,Perfluorooctane sulfonate (PFOS),2016,40
Riverside,Perfluorooctane sulfonate (PFOS),2017,34.79565217391304
Riverside,Perfluorooctane sulfonate (PFOS),2018,49.45492957746479
Riverside,Perfluorooctane sulfonate (PFOS),2019,15.318588588588588
Riverside,Perfluorooctane sulfonate (PFOS),2020,18.085525672371638
Riverside,Perfluorooctane sulfonate (PFOS),2021,24.989016853932583
Riverside,Perfluorooctane sulfonate (PFOS),2022,26.652727884615384
Riverside,Perfluorooctane sulfonate (PFOS),2023,25.248463055555554
Riverside,Perfluorooctane sulfonate (PFOS),2024,18.65
Riverside,Perfluorooctanoic acid (PFOA),2016,20
