total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
2780,Fresno ,-119.7816961,36.7096952,100,95.62,92.25,93.23,98.92,93.83
4680,San Joaquin,-121.2878729,37.9431727,99.99,88.72,88.12,94.47,98.39,99.21
2751,Los Angeles,-118.1974975,34.0175004,99.97,90.89,90.15,97.39,93.39,61.53
3664,Fresno ,-119.8277069,36.7345353,99.96,99.78,94.57,90.94,95.35,97.35
2689,Fresno ,-119.8055044,36.7354914,99.95,99.67,94.43,92.57,98.3,95.29
3306,Los Angeles,-118.2124134,33.881969,99.94,80.04,93.67,83.57,74.05,83.22
4255,Fresno ,-119.804314,36.6977507,99.92,98.4,94.57,92.99,99.41,97.14
5124,Los Angeles,-118.230032,33.8798617,99.91,80.73,81.31,92.33,88.92,93.49
4561,Fresno ,-119.7410277,36.7026849,99.9,88.09,61.13,97.43,98.12,97.9
3688,San Joaquin,-121.2853628,37.953996,99.89,99.36,89.13,95.79,99.31,96.46
2000,Los Angeles,-118.2077883,34.0588723,99.87,78.36,57.13,97.33,97.95,91.94
3640,Los Angeles,-118.286709,33.8771395,99.86,95.43,53.75,81.93,83.49,37.71
1949,Los Angeles,-118.0651222,34.0572554,99.85,66.83,74.84,97.39,92.37,93.09
6772,Los Angeles,-118.2350934,33.9327963,99.84,99.23,98.63,93.48,98.45,97.27
5705,Los Angeles,-118.2469968,34.0185256,99.82,66.05,93.28,99.62,96.86,77.76
2615,Los Angeles,-118.2502739,34.0244835,99.81,58.56,58.35,93.36,98.02,84.58
4225,Fresno ,-119.8010347,36.726462,99.8,96.74,94.57,88.71,97.37,NA
2464,Los Angeles,-118.0605567,34.0686907,99.79,90.6,68.2,92,74.05,76.05
5999,Los Angeles,-118.2649765,33.9856783,99.77,81.88,91.86,97.61,89.66,82.33
2031,Los Angeles,-118.2244531,34.0299036,99.76,99.7,50.12,92.69,90.87,84.58
3548,Los Angeles,-118.2117956,34.0187546,99.75,72.85,90.15,99.14,99.62,21.11
2048,San Joaquin,-121.3020724,37.952421,99.74,78.21,77.12,80.66,96.66,80.39
1820,Los Angeles,-118.2477686,34.0326196,99.72,71.64,65.09,74.41,75.4,79.72
5191,Fresno ,-119.8042772,36.717769,99.71,99.63,94.57,95.67,99.85,97.85
4669,Stanislaus ,-120.883606,37.4647928,99.7,66.83,97.16,77.23,87.09,89.46
5498,Fresno ,-119.7762091,36.7276563,99.68,77.55,84.18,91.03,96.93,98.54
3900,Los Angeles,-118.1782284,33.9448778,99.67,63.9,79.51,95.18,69.35,85.83
2174,Los Angeles,-118.4005905,34.2552325,99.66,87.09,52.73,96.46,93.92,NA
7326,Los Angeles,-118.275663,33.9469248,99.65,90.6,99.23,96.51,94.13,93.71
3553,Los Angeles,-118.2314205,33.947117,99.63,83.69,97.77,95.94,85.5,81.01
5363,San Bernardino,-117.6180131,34.0577805,99.62,67.37,82.9,95.68,94.23,19.59
5768,Los Angeles,-118.2870814,33.8886904,99.61,71.26,58,74.34,75.11,87.39
4832,Los Angeles,-118.2044859,33.8778668,99.6,88.4,82.58,93.79,89.76,85.49
4881,Los Angeles,-118.1751711,34.0096885,99.58,81.88,84.21,92.52,81.91,61.53
7155,Los Angeles,-118.1971508,33.8868935,99.57,72.08,96.51,87.67,86.86,83.63
5748,Los Angeles,-118.1611103,33.959603,99.56,79.19,96.68,97.84,99.48,91.79
6215,Los Angeles,-118.1827241,34.0169019,99.55,69.99,78.25,96.04,88.53,63.42
9052,Kern ,-118.9920281,35.3372541,99.53,78.56,94.92,89.86,95.18,99.71
4756,Los Angeles,-118.2502423,33.932376,99.52,89.8,99.08,96.9,99.86,98.54
6035,Los Angeles,-118.2426486,33.9363535,99.51,97.73,95.99,93.1,95.8,78.97
5687,Los Angeles,-118.2246242,34.046259,99.5,49.91,74.91,94.37,95.94,41.84
4735,Los Angeles,-118.2109036,33.8923624,99.48,80.16,97.53,84.37,86.97,99.23
