chemical,date,latitude,longitude,measurement,units
Perfluorooctanoic acid (PFOA),2020-06-29,41.781029,-124.2006,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-09-28,41.781029,-124.2006,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-31,41.785547,-124.198677,12,NG/L
Perfluorooctanoic acid (PFOA),2021-06-27,41.785547,-124.198677,12,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-27,41.785547,-124.198677,13,NG/L
Perfluorooctane sulfonate (PFOS),2019-06-25,41.785547,-124.198677,14,NG/L
Perfluorooctane sulfonate (PFOS),2019-08-12,41.33547,-122.355856,1.7,NG/L
Perfluorooctanoic acid (PFOA),2019-08-12,41.33547,-122.355856,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2019-08-12,41.337549,-122.356432,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-23,41.337549,-122.356432,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-23,41.33547,-122.355856,2,NG/L
Perfluorooctanoic acid (PFOA),2019-12-17,41.33547,-122.355856,1.8,NG/L
Perfluorooctanoic acid (PFOA),2021-03-15,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-18,40.409716,-120.6404,5,NG/L
Perfluorooctanoic acid (PFOA),2020-03-18,40.409716,-120.6404,5,NG/L
Perfluorooctanoic acid (PFOA),2021-06-21,41.12251,-121.13659,1.7,NG/L
Perfluorooctanoic acid (PFOA),2020-12-10,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-08,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-06-19,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-18,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2021-10-18,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-09-20,41.122236,-121.1428,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-09-20,41.122236,-121.1428,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-12,41.122236,-121.1428,6.9,NG/L
Perfluorooctanoic acid (PFOA),2019-12-12,41.122236,-121.1428,5,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-12,41.12251,-121.13659,86,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-12,41.122236,-121.1428,5,NG/L
Perfluorooctanoic acid (PFOA),2019-06-19,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-21,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-12-10,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2021-04-27,40.134805,-120.202597,2,NG/L
